('aus.001.mrb', 'Mr. Bennet')
('aus.001.mrsb', 'Mrs. Bennet')
('aus.001.jane', 'Jane Bennet')
('aus.001.eliz', 'Elizabeth Bennet')
('aus.001.mary', 'Mary Bennet')
('aus.001.lyd', 'Lydia Bennet')
('aus.001.kit', 'Kitty Bennet')
('aus.001.char', 'Charlotte Lucas')
('aus.001.ladyl', 'Lady Lucas')
('aus.001.sirl', 'Sir William Lucas')
('aus.001.marl', 'Maria Lucas')
('aus.001.dar', 'Mr. Darcy')
('aus.001.bing', 'Mr. Bingley')
('aus.001.msb', 'Miss Bingley')
('aus.001.mrsh', 'Mrs. Hurst')
('aus.001.mrh', 'Mr. Hurst')
('aus.001.coll', 'Mr. Collins')
('aus.001.wick', 'Mr. Wickham')
('aus.001.mrg', 'Mr. Gardiner')
('aus.001.mrsg', 'Mrs. Gardiner')
('aus.001.fitz', 'Colonel Fitzwilliam')
('aus.001.rey', 'Mrs. Reynolds')
('aus.001.deb', 'Lady Catherine de Bourgh')
('aus.001.boyl', 'Lucas')
('aus.001.hill', 'Mrs. Hill')
('aus.001.butler', '')
('aus.001.mrd', 'Mr. Denny')
('aus.001.ug', '')
('aus.001.mrsp', 'Mrs. Phillips')
('aus.001.mersoc', '')
('aus.001.nar', '')
('asanother', 'Dubious Speaker')
